reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
316fd07d-ea7f-4f14-b42e-9fd22d59ac68,Girdhari chohan,https://play-lh.googleusercontent.com/a/AATXAJz9WFBZnLeVrl9QfAVJd_HJa6Vi7d5x87oUF9Xp=mo,Not open fb,1,1,308.0.0.10.108,2022-06-22 07:18:51,,,newest,com.facebook.lite
5ba53ea8-c058-4ca6-9810-59671a8909d1,Sreeshanth Rey,https://play-lh.googleusercontent.com/a-/AOh14GjDRxsDQM7luRjJtFuKN4kRO9TsBWipusnELmF8,... Useless app just collect and selling public information for money ... I'm using this app for more than two years... But I'm still single... 🥱mF***,1,0,282.0.0.13.117,2022-06-22 07:18:08,,,newest,com.facebook.lite
776a3089-d949-4eaa-8522-618dca6787a0,Jeya Lalorin,https://play-lh.googleusercontent.com/a/AATXAJzqlzoKYJwrQxzuLNSdmE_8VRelJgErYcrPQbXU=mo,ⓑⓘⓛⓔⓢ,1,0,308.0.0.10.108,2022-06-22 07:09:18,,,newest,com.facebook.lite
df7d6717-63e4-4880-b851-88aa57044b91,Muqadar Khan,https://play-lh.googleusercontent.com/a/AATXAJxaIvFt_dhzTwq5rz2RT0uUSiFidPjs_jciwdY9=mo,Muqadr khan,1,0,308.0.0.10.108,2022-06-22 07:02:18,,,newest,com.facebook.lite
bd20c6ad-405c-4318-80d9-ad95b1a6b593,Suman Raj,https://play-lh.googleusercontent.com/a/AATXAJyPyWK_5FfbLbNYr8ize-3tGyIOMUxkDHw3YAna=mo,onk golo emojis missing,1,0,,2022-06-22 06:51:47,,,newest,com.facebook.lite
46bf3997-3b4c-4d3b-8c37-74e5e1925e30,Kimberly Salazar,https://play-lh.googleusercontent.com/a-/AOh14GiVGVuhq35GSFEn5Z4vN7LeoTDK3MEpyWbOO3xh,Opo,1,0,,2022-06-22 05:51:11,,,newest,com.facebook.lite
05caa06a-0e25-46b7-ae39-cd43c21f3fc1,Jihad Bro,https://play-lh.googleusercontent.com/a-/AOh14Gj4zfy_KNI-RoLyQAbrIrskBXCXcSv4xZKGp7XcrQ,Fucl off,1,0,308.0.0.10.108,2022-06-22 05:44:44,,,newest,com.facebook.lite
810f4ab3-a89d-4866-a807-2e7ce5ba3aa1,Arnel Vicente,https://play-lh.googleusercontent.com/a/AATXAJwwj3trkUH0G1DkKRPQbOnjyosVrZQWNXTjBBg3=mo,Download,1,0,308.0.0.10.108,2022-06-22 05:39:04,,,newest,com.facebook.lite
0cd3a512-100c-4f84-9980-0811c7fb06af,Maxwell Tahiru,https://play-lh.googleusercontent.com/a/AATXAJzzNg5t-ECMrvY5NdNyzuIUR2GtMIBr6PPk8qVH=mo,Nice,1,0,303.0.0.7.106,2022-06-22 05:38:50,,,newest,com.facebook.lite
6c4be149-3b49-4be4-9b9d-59f21647423c,R0ny Khan,https://play-lh.googleusercontent.com/a-/AOh14GhrIzV6jpVl-O-WWH0LC7MXGhgfTN1aQZ4XxD0w,Good,1,0,,2022-06-22 05:38:44,,,newest,com.facebook.lite
