neg,neu,pos,compound
0.0,0.672,0.328,0.5994
0.193,0.715,0.092,-0.7128
0.094,0.578,0.329,0.7417
0.0,0.391,0.609,0.8316
0.0,0.661,0.339,0.802
0.0,0.7,0.3,0.5927
0.0,0.449,0.551,0.8617
0.0,0.408,0.592,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.698,0.302,0.5994
0.0,0.875,0.125,0.743
0.0,0.0,1.0,0.5994
0.0,0.192,0.808,0.6369
0.0,0.726,0.274,0.9515
0.0,0.476,0.524,0.765
0.0,0.615,0.385,0.9398
0.0,0.0,1.0,0.9274
0.0,0.445,0.555,0.8744
0.0,0.408,0.592,0.4404
0.0,0.263,0.737,0.4215
0.0,0.379,0.621,0.9099
0.0,0.208,0.792,0.5859
0.0,0.388,0.612,0.9347
0.0,0.623,0.377,0.8832
0.0,0.244,0.756,0.4754
0.0,0.286,0.714,0.3612
0.0,1.0,0.0,0.0
0.0,0.58,0.42,0.7243
0.0,0.196,0.804,0.6249
0.0,1.0,0.0,0.0
0.0,0.4,0.6,0.6697
0.0,0.323,0.677,0.6369
0.0,0.0,1.0,0.4215
0.083,0.661,0.256,0.7177
0.0,0.238,0.762,0.4927
0.0,0.515,0.485,0.8854
0.0,0.633,0.367,0.4404
0.0,0.0,1.0,0.6249
0.0,0.455,0.545,0.5574
0.0,0.648,0.352,0.5859
0.0,0.23,0.77,0.7717
0.0,0.417,0.583,0.9468
0.0,0.805,0.195,0.4404
0.0,0.0,1.0,0.6249
0.0,0.606,0.394,0.893
0.0,0.667,0.333,0.6696
0.0,0.192,0.808,0.6369
0.0,1.0,0.0,0.0
0.0,0.652,0.348,0.9432
0.0,0.379,0.621,0.9098
0.0,0.632,0.368,0.9789
0.0,0.0,1.0,0.4215
0.0,0.0,1.0,0.5994
0.0,0.192,0.808,0.6369
0.0,0.185,0.815,0.659
0.0,0.333,0.667,0.8402
0.086,0.639,0.275,0.7783
0.0,0.424,0.576,0.6213
0.0,1.0,0.0,0.0
0.0,0.659,0.341,0.7353
0.0,0.496,0.504,0.7964
0.0,0.517,0.483,0.8555
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.513,0.487,0.4215
0.0,1.0,0.0,0.0
0.0,0.694,0.306,0.4754
0.0,0.0,1.0,0.5719
0.0,1.0,0.0,0.0
0.0,0.754,0.246,0.9805
0.0,0.0,1.0,0.4404
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.6249
0.0,0.45,0.55,0.9675
0.0,0.364,0.636,0.7906
0.0,0.407,0.593,0.6556
0.0,0.597,0.403,0.6597
0.0,0.0,1.0,0.4588
0.0,0.548,0.452,0.8718
0.0,0.357,0.643,0.802
0.0,0.477,0.523,0.659
0.0,0.0,1.0,0.4215
0.0,0.385,0.615,0.4927
0.0,0.278,0.722,0.8309
0.0,0.339,0.661,0.5994
0.0,0.263,0.737,0.4215
0.0,0.769,0.231,0.5994
0.0,0.913,0.087,0.2023
0.073,0.927,0.0,-0.2617
0.0,1.0,0.0,0.0
0.0,0.192,0.808,0.6369
0.0,0.667,0.333,0.8402
0.0,1.0,0.0,0.0
0.0,0.192,0.808,0.6369
