at
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
4
5
1
2
5
5
5
4
5
2
5
3
1
5
2
4
6
2
4
5
4
7
5
3
7
2
5
3
1
4
4
2
4
10
3
6
4
5
7
8
7
4
4
4
3
5
2
7
8
4
3
2
5
4
18
8
19
12
6
10
13
10
15
10
13
11
8
14
7
18
17
21
17
16
13
11
20
8
11
16
142
468
